StartUp Name;Localização HQ (Ilha);Core Business;Website;Descrição;Modelo Negócio;Stage/Type;Powerd by CVD
Prisma Videos;Santiago;Creative Industry;http://www.prismavideoscv.com/;Prisma Videos, produtora audiovisual. Anuncie, divulgue e registre os melhores momentos da sua vida. Vídeos Prisma, olhe e veja!;b2b2c;Early Stage;
Faxi;Santiago;Fintech;http://www.faxi.online/;Maior plataforma de pagamento online de Cabo Verde com o principal objetivo oferecer a maior conveniência aos utilizadores, com pagamentos simples, rápidos e seguros.;b2b2c;Growth;BCVD, GoGlobal, Dreams & Demos
Empregos.cv;Santiago;Saas;http://www.empregos.cv/;;b2b2c;Early Stage;BCVD, GoGlobal, Dreams & Demos
LestoPay;Santiago;Fintech;http://www.lestopay.net/;Lestopay é uma plataforma que auxilia e junta num só lugar o pagamento dos mais diversos serviços e produtos de forma segura e rápida;b2b2c;Growth;
Bonako;Santiago;Game;http://www.bonako.com/;Bonako é uma unidade da Ihaba, uma empresa de desenvolvimento de negócios fundada em 2012. Bonako criará jogos digitais que são emocionalmente atraentes, educacionais e divertidos! Nossa missão: Criar novas formas de lazer e aprendizagem Nossa visão: Tornar-se um player global no mercado de jogos digitais Nossa abordagem: criar jogos digitais emocionantes Nossa singularidade: crie produtos inspirados nas culturas e história africanas, incluindo seus mitos, contos populares e indígenas sistemas de conhecimento;b2c;Startup;BCVD, GoGlobal
mGo;Santiago;IT Consulting;http://mgo.cv/;We exist to offer a service of excellence to the customers, with the best and most innovative technological solutions. It is with this mission that we want to grow and grow, with responsibility and trust, within ethics and legality, to deliver results that surprise customers and society in general. ;b2b2c, b2b2g;Growth;
Green Studio;Santiago;Creative Industry;https://www.greenstudiogroup.com/;GreenStudio is a company with over 12 years of experience in the audiovisual and television production market and consultancy in Marketing and Advertising;b2b2c;Growth;
TEI Telecomunicações;Santiago;Telecomunicações;https://www.tei.cv/;TEI, TELECOMUNICAÇÕES ELECTRÓNICA INFORMÁTICA, SA, is an Operating Company in the ICT sector that markets telecommunications equipment and services;b2b2g;Growth;
Prime Consulting;Santiago;IT Consulting;https://www.prime.cv/pt_PT/;We are a team of passionate people. Our goal is to improve everyone's life through disruptive products. We are committed to build smart solutions to solve global and local challenges. Our products are designed for private and public sectores entities, aiming to optimize their performance.;b2b2g;Startup;
Agui@net - NTIC, SU Lda;São Vicente;IT Consulting;www.aguianet.com;A Agui@net dedica-se ao desenvolvimento e comercialização de soluções de gestão e plataformas para integração de processos empresariais num mercado global, disponibilizando soluções para as Pequenas, Médias, Grandes Organizações e Administração Pública. Na base da excelência dos produtos e serviços oferecidos pela Agui@net está uma equipa de profissionais altamente qualificados/as e motivados/as, que tem alicerçado desde sempre o seu desempenho na Inovação e Qualidade e que trabalha em uníssono para a prossecução dos objectivos da empresa.;b2b2c;Early Stage;
Innovation Lab;Santiago;IT Consulting;;A INNOVATION LAB é uma startup tecnológica 100% kriola criada em Janeiro de 2015, para promover e incentivar o desenvolvimento de soluções tecnológicas 100% Kriolu em Cabo Verde. A startup está incubada na empresa MITEL, empresa prestadora de serviços com o objectivo de contribuir para o êxito de pessoas e organizações.;b2b2c;Early Stage;
Doutvisions;São Vicente;Saas;http://www.doutvisions.com/; Doutvisions é uma empresa que dispõe de soluções Audiovisuais e para o Marketing Digital, oferecendo aos seus clientes serviços baseados em tecnologias digitais. Para que todos estes requisitos sejam cumpridos, a Doutvisions estará sempre a par das novas tecnologias partilhadas por parceiros nacionais/internacionais, e também inclui o desenvolvimento de ideias/projectos para a construção de suportes originais;b2b;Startup;GoGlobal
PassiD;Santiago;Saas;https://passid.cv/;Empresa de prestação de serviços às empresas organizadoras de eventos em Cabo Verde,que conecta pessoas a experiências únicas através da tecnologia.;b2b2c;Startup;
InforExper;Santiago;Saas;https://www.inforexper.com/;A InforExper é uma startup Cabo-verdiano, que atua na área de Desenvolvimento de Software as a Service, composta por jovens nacionais, motivados a explorar possibilidades, transpor barreiras e inovar.;b2b2c;Pré-seed;
Banco do Tempo;Santiago;Saas;https://www.bancodotempo.cv/;Banco do Tempo é um sistema de organização de trocas solidárias que promove o encontro entre a oferta e a procura de serviços disponibilizados pelos seus Membros. No Banco do Tempo troca-se serviço por serviço, todos os serviços têm o mesmo valor e quem participa compromete-se a prestar e a receber serviço.;b2c;Pré-seed;BCVD, GoGlobal
100ideia;Sal;IT Consulting;https://www.100ideia.com/;;b2b2c;Pré-seed;
Ilhas;São Vicente;IT Consulting;https://ilhas.cv;;b2b2c;Pré-seed;
Nexus for Business;Santiago;Saas;https://nexusforbusiness.com/;Empresa cabo verdiana que oferece soluções de TI simplificadas, eficazes e acessiveis, que têm como finalidade responder às necessidades evolutivas das organizações  .;b2b2c;Early Stage;
XLERA;Santiago;IoT;https://xlera.org/;"A XLERA é uma “StartUp” nas Tecnologias de Informação e Comunicação (TIC) que opera na comercialização de serviços como: LMS - Sistema de Gestão de Aprendizagem; Portais web e outros serviços das TIC";b2b2c;Early Stage;Fintech Island
Pro Sucesso;Santiago;Edtech;https://www.prosucesso.cv/;;b2b2g;Startup;Dreams & Demos
APay;Santiago;Fintech;https://apay.cv/;A Mpay é uma Cash app especializada em realizar transações entre os bancos que atuam em Cabo Verde e que pretende iniciar atividade em 2022. É uma ideia de negócio desenvolvida por recém licenciados em gestão, que tem por foco substituir a forma tradicional de pagamento, tornando- o mais simples através deste aplicativo, bem como criar uma plataforma em que as empresas conseguem divulgar seus produtos e afins da melhor forma e obterem consequentemente melhores retornos. A empresa também pretende auxiliar as pessoas que tem familiares no exterior disponibilizando o aplicativo para que eles possam realizar suas transações a qualquer hora e a qualquer lugar;b2b2c;Early Stage;
Agritech;Santiago;Agritech;http://www.agritech.cv/;A AgriTech é uma sociedade que tem como objetivo, prestar serviços a terceiros no ramo da agricult;b2b2c;Early Stage;BCVD, Dreams & Demos, GoGlobal, Fund$ Akademy
Pratex;Santiago;e-Commerce/Delivery;https://pratex.cv/;A Pratex é uma empresa de cedência de pessoal, prestação de serviço e trabalho temporário em Cabo Verde, que veio colocar a disposição das empresas, instituições e particulares uma aplicação de prestação nas áreas mais práticas como as da construção civil, logística, indústria e hotelaria, visando garantir a “organização e a eficácia nos trabalhos”.;b2b2c;Startup;BCVD, GoGlobal, Dreams & Demos, Pro-Credito
DevGo;Santiago, São Vicente;IT Consulting;https://devgo.org/;Devgo is a young formed company, although the experience within the founders is long-standing. We are focus in developing of innovative software-based products. We started to be inspired by Internet of Things (IoT) and home automation, but we are moving on to innovative technology based on web and mobile applications.;b2b2g;Growth;Kode Verde, GoGlobal
Muska;Santiago;Creative Industry;https://muska.cv/;Muska, a music streaming app, opens the door to millions of songs to you. Create a playlist with all ;b2b2c;Growth;GoGlobal
Pagali;Santiago;Fintech;https://www.pagali.cv/;Portal de pagamentos online de facturas e serviços - https://www.pagali.cv Pagamentos de Factura, Pagamento de serviços, Donativos, Eventos, E-Commerce;b2b2g;Growth;GoGlobal, Fund$ Akademy
vale.cv;São Vicente;e-Commerce/Delivery,Travel, Turismo & Experiences;https://vale.cv/;A VALE.CV é uma plataforma online incrível onde pode adquirir experiências através de vouchers digitais nas áreas de alojamento, restauração, spa e beleza, saúde e bem-estar, desporto, formações, cultura, processos produtivos e muito mais do que possa imaginar em Cabo Verde.;b2b2c;Startup;GoGlobal, Re!nventa
cvbuy.cv;Santiago;e-Commerce/Delivery;https://www.cvbuy.cv/;A nossa missão consigo é proporcionar-lhe vivências inesquecíveis, através de um serviço personalizado e diferenciado aproximando-o do mercado de experiências em Cabo Verde.;b2b2c;Startup;BCVD, Fund$ Akademy
ebarsa;Santiago;e-Commerce/Delivery;https://www.ebarsa.com/;Sistema de gestão e agendamentos para Barbearias e Salão de Beleza;b2b2c;Early Stage;BCVD, Dreams & Demos
Emigrante.cv;Santiago;e-Commerce/Delivery;https://www.emigrante.cv/;Este projeto visa a criação de uma plataforma digital denominado emigrantes.cv, que permiti aos nossos emigrantes, trocar bens e serviços, com maior facilidade, segurança e transparência. ;b2b2c;Early Stage;BCVD, GoGlobal, Dreams & Demos
Afrikancoders;Santiago;IT Consulting;https://www.afrikancoders.com/;;b2b2c;Pré-seed;BCVD, GoGlobal, Fund$ Akademy, Kode Verde
Kmindz;Santiago;Investment & Ecossystem Development;https://kmindzdigitalagency.com/about/;A K MINDZ é uma agência digital que fornece uma gama de serviços de marketing digital e desenvolvimento web para vários sectores e negócios;b2b2c;Incubator;Re!nventa
BIC;Santiago;Investment & Ecossystem Development;https://bic.cv/;O Business Incubation Center (BIC) é uma incubadora de empresas que visa criar um ambiente favorável para o surgimento de empresas inovadoras e com alto potencial de escala.;b2b2c;Incubator, Coworking Space;
HelpMe, Lda;Santiago;IT Consulting;https://helpme.cv/;Somos uma empresa de Consultoria, Informática & Gestão que aposta no desenvolvimento de soluções informáticas específicas para cada negócio e na valorização do capital humano por meio de formações diversas nas áreas de Informática, Gestão de negócios e Recursos Humanos, visando a vantagem competitiva dos seus clientes.;b2b;Startup;
Cheetah Start;Santiago;Investment & Ecossystem Development;;A Cheetah Start é uma ONG cabo-verdiana fundada em 2017 com a visão de acelerar o ritmo da inovação em Cabo Verde, através da missão de educar, inspirar e capacitar os líderes e empreendedores que vão mudar o país.;b2b2c;Early Stage;
Netxtudio;São Vicente;Healthtech;;Netxtudio desenvolveu e patenteou a plataforma NubianPro Doctor+, suporte a serviços de saúde online.;b2b2c;Early Stage;GoGlobal
Kriol Midia;Santiago;Creative Industry;http://www.kriolmidia.com/;A KriolMidia é uma Agência Digital especializada em soluções Multimédia, serviços de Marketing;b2b2c;Early Stage;
Kumpra Li;Santiago;e-Commerce/Delivery;https://kumprali.cv/;;b2b2c;Early Stage;BCVD
formação.cv;Santiago;Edtech;https://formacao.cv/;Formação.cv é uma plataforma web de ensino B-learning que conecta ofertas formativas ou cursos com os formandos, facilitando assim o processo de ensino a distancia em Cabo Verde;b2b2c;Early Stage;
CaboSys;Santiago;IT Consulting;https://cabosys.cv/;A CaboSys foi criada com o objetivo de colocar as tecnologias de informação ao serviço do desenvolvimento da comunidade, oferecendo soluções personalizadas para empresas, serviços públicos, instituições de ensino, consultores, estudantes e usuários domésticos com preços competitivos e alta qualidade;b2b2c;Growth;
PrimeBotics, Lda;São Vicente;IoT, Agritech;https://msha.ke/ericopinheirofortes?fbclid=IwAR1PkEkjGzpEWW6x44rdWR2m2kgjUCm_t8i7iWGGFRBPeZUlT0jPkS_Clns;;b2b2g;Early Stage;
Skyteck;Santiago;IoT, Telecomunicações, IT Consulting;https://www.skytech.cv/;Skytech - Soluções Informáticas é uma empresa do ramo de tecnologia de informação e comunicação especializada no fornecimento de soluções informáticas à medida das necessidades dos nossos clientes;b2b2g;Startup;Kode Verde
IES Innovation and Enterprise Support;Sal;Investment & Ecossystem Development;https://ies.cv/;É uma Incubadora de Empresas e consultoria empresarial que apoia empreendedores e potenciais empreendedores para que eles possam desenvolver ideias inovadoras e transformá-las em empreendimentos de sucesso. Oferecemos orientação empresarial, apoio à gestão, infraestruturas e consultorias especializadas e ainda incentivamos a digitalização de negócios e uso da tecnologia para melhorar a performance das empresas incubadas.;b2b2c;Early Stage;
Associação Business Angels de Cabo Verde (ABAC);Santiago;Investment & Ecossystem Development;https://abac.cv/;A Associação Business Angels de Cabo Verde (ABAC) é uma entidade de direito privado, sem fins lucrativos, criada a 15 de Março de 2010, registado a 23 de Julho (BO 29) com o objetivo de promover e gerir uma rede de Business Angels.;b2b;Early Stage;
JoeMidia;Santiago;Creative Industry;http://www.joemidia.cv/;JOEMIDIA é uma empresa que atua na área de comunicação e multimédia, formada por profissionais jovens e criativos que apostam na simplicidade de leitura, sofisticação de conteúdo e funcionalidade do Design para satisfazer as necessidades dos seus clientes.;b2b2c;Early Stage;
EG Soft Solutions;Santiago;IT Consulting;;;b2b2c;Early Stage;
Big Hub Solutions;Santiago;IT Consulting;https://www.bighubsolutions.org/home;Big Hub Solutions is a global hub that supply next generation technologies, services, logistics and core infraestructures for global companies, corporations, 500 fortune companies, IT companies specialized in design, development, storage, hosting, and computing for software, with selected global, local and continental partners.  ;b2b2c, b2b2g;Startup;
Studiucuk;Santiago;Creative Industry;www.studiocuk.com;;b2b2c, b2b2g;Startup;
Lentilhas;Santiago;Creative Industry;https://lentilhas.com;;b2b2c, b2b2g;Startup;
Reprotec;São Vicente;IT Consulting;http://helpdesk.cv/reprotec/;A REPROTEC responde à crescente procura do mercado, com soluções adequadas, integrando conceitos ;b2b2c;Startup;
Kriosoft;Santiago;Saas, IT Consulting;https://www.kriosoft.net/;Somos uma empresa tecnológica que sabe identificar bem a melhor solução para resolver o seu problema.;b2b2c;Early Stage;
All4Innovation;Santiago;Saas;https://www.all4innovation.com/;IT Consulting & Services Strategic Consulting and Process Reengineering Integration of information systems focusing on geographic information system. With skills at the level of systems integration, database, security, systems.;b2b2c;Startup;
NAWRK, LDA;Santiago;Saas, IT Consulting;;Temos como missão oferecer o melhor serviço aos nossos clientes com o maior grau de segurança, antecipando as necessidades do mercado, atendendo com excelência o interesse do investidor, a motivação do colaborador e a satisfação do consumidor. ;b2b2g;Early Stage;
CVNET;Santiago;Telecomunicações, IT Consulting;https://cvnet.cv/;A CVNET, empresa Cabo-verdiana, fundada em 2008, é uma referência nacional no que toca a serviços de IT/Field Service.  Apresentamos uma vasta gama de serviços tais como, fornecimento de soluções e equipamentos, implementação, suporte e manutenção, field service, monitorização e operação.  Atuamos essencialmente nos setores das telecomunicações, energia e TI. Estamos totalmente unidos pela coesão interna e externa das nossas parcerias e essa é a ponte para continuarmos a ir mais além e construir o serviço do futuro, lado a lado.;b2b2g;Growth;
NhaKretcheu;Santiago;e-Commerce/Delivery;https://www.nhakretxeu.com/;;b2b2c;Pré-seed;Startup Jovem
GoHub;Boa Vista;Investment & Ecossystem Development;https://workspaces.gohub.world/suite/organizations/7d094fa0-f39d-11ec-9694-8721c750fc32/information;Cabo Verde's newest, largest, and most accommodating coworkspace. 2 minutes from the finest white sand beaches in the archipelago. Mesh wifi, meeting rooms, privacy pods - cultural events and incubators. ;b2b2c;Coworking Space;
GoHub;Sal;Investment & Ecossystem Development;https://workspaces.gohub.world/suite/organizations/954e7160-f20f-11ec-bea3-dfe4e0fb0fa8/information;Situated in the centre of Santa Maria - just 50m of Sal's iconic beach. Equipped with the fastest and most reliable internet, comfortable agency and bar stool seating. Private desks available. Air conditioning. ;b2b2c;Coworking Space;
Prime Coworking;São Vicente;Investment & Ecossystem Development;https://workspaces.gohub.world/suite/organizations/0775bab0-f20f-11ec-bea3-dfe4e0fb0fa8/information;Located in the historical quarter in a traditional family house dating back to the early 19th century. Easy access to shops, cafes, restaurants, bars and Mindelo's vibrant music scene, ;b2b2c;Coworking Space;
Don Paco Coworking;São Vicente;Investment & Ecossystem Development;https://workspaces.gohub.world/suite/organizations/ed22a9c0-fecf-11ec-a9d4-5bc1864f566c/information;The Don Paco Hotel is home to the newest workspace in Mindelo. Located in an upmarket area of the city - adjacent to the waterfront, with Santo Antao visible across the bay. Space users can access the hotel bar and restaurant which provides breakfast, lunch and snacks ;b2b2c;Coworking Space;
Prime Coworking;Santiago;Investment & Ecossystem Development;https://workspaces.gohub.world/suite/organizations/7a886330-2929-11ed-9674-01e1ae5a5733/information;Spacious, well equipped, and located next to the seashore of Palmarejo Baixa. A meeting room available to rent, breakout spaces and table tennis to keep your energy levels high. Outside is a boardwalk along the sea to take a revitalising stroll. In the area are bars, restaurants, shops and even a gym.  ;b2b2c;Coworking Space;
Fogo Innovation Lab;Fogo;Investment & Ecossystem Development;https://workspaces.gohub.world/suite/organizations/bc7ae9e0-6cac-11ed-b6d8-bf1fe0f788d0/information;On the volcanic island of Fogo, situated in the town of São Felipe, we offer a quiet and peaceful environment for working, equipped with fast and reliable internet.  ;b2b2c;Coworking Space;
Maio Business Centre;Maio;Investment & Ecossystem Development;https://www.maiobusinesscenter.com/;Maio Business Centre (MBC) is a coworking space based on the idea of sharing space and resources, designed for liberal professionals, freelancers, entrepreneurs and remote workers.  ;b2b2g, b2b2c;Coworking Space, Incubator;
Prime Coworking;Santiago;Investment & Ecossystem Development;https://workspaces.gohub.world/suite/organizations/7a886330-2929-11ed-9674-01e1ae5a5733/information;Superfast internet and meeting room. Join Cabo Verde's leading entreprenuers and small businesses working in the heart of the neighbourhood, with nearby gym, bars, restaurants and shopping area.  ;b2b2c;Coworking Space;
Cogent Tech Solutions, Lda ;São Vicente;Creative Industry, IT Consulting;https://cogent-tech.biz/;A Cogent Tech Solutions, Lda foi fundada em 2018, em Mindelo, Cabo Verde. O nosso empreendimento com o slogan de  “Making Lives Digital”, fornecendo a capacidade de incorporar interfaces claras, funcionais e soluções criativas com Marketing Digital.;b2b2c;Startup;
Alink;São Vicente;IT Consulting;https://alink.cv/;;b2b2c;Startup;
Zone Tech;São Vicente;IT Consulting;https://https://zone-tech-lda.negocio.site/;;b2b2c;Startup;
Infocom;Santiago;IT Consulting;https://infocom.cv/;A INFOCOM é uma empresa especializada na prestação de serviços em áreas Tecnológicas, comercialização de equipamentos e consumíveis da mesma natureza. Dedica-se igualmente à distribuição de Software e ao desenvolvimento das aplicações à sua medida. Com 8 anos de experiências no mercado, a mesma é hoje reconhecida, em grande parte, pelos seus assíduos consumidores, qualidade, eficiência e eficácia dos serviços prestados – circunstâncias que vêm contribuindo para a galvanizar e reforçar cada vez mais sua credibilidade e esfera de influência no mercado. ;b2b2c;Startup;
WeSimplesGest, LDA (WSG);Santiago;IT Consulting, Saas;http://www.wesimplegest.com/;;b2b2c;Startup;
AZ Inovação e Tecnologia;São Vicente;IT Consulting;;;b2b2c;Startup;GoGlobal
RiftOne;Santiago;IoT;;;b2b2g;Pré-seed;
Ping;São Vicente;Fintech;;Aqui na Chuva, nosso objetivo é fornecer software de alta qualidade para o mundo. Trabalhamos com nossos clientes desde a concepção e planejamento, design, desenvolvimento e teste, até a manutenção e suporte. Enquanto outras empresas de consultoria economizam e entregam um trabalho difícil de manter e melhorar com o tempo, nós, da Chuva, nos concentramos em software de qualidade que estabelecerá a base de seu negócio.;b2b2c;Early Stage;
CV Innovation;Santiago;e-Commerce/Delivery, Fintech, IT Consulting, Saas;https://www.emigrante.cv/;A CV Innovation é uma startup inovadora que atua em diversos ramos de atividade por meio de seus três projetos: Emigrante CV, Ti Sol Sai Eventos e The Best Of CV. Cada um desses projetos tem sua proposta única e contribui para o sucesso e crescimento da empresa.  O projeto Emigrante CV tem como objetivo auxiliar pessoas que desejam emigrar ou se adaptar a um novo país. Através dessa plataforma, a CV Innovation oferece suporte e orientação para que os emigrantes possam enfrentar os desafios dessa transição de forma mais tranquila e bem-sucedida.  Já o projeto Ti Sol Sai Eventos é voltado para a organização e realização de eventos. A CV Innovation busca proporcionar experiências únicas e memoráveis por meio de eventos exclusivos, como festivais de música, eventos corporativos e outras atividades emocionantes. Através desse projeto, a empresa busca promover diversão, aventura e momentos especiais para compartilhar com amigos e familiares.  O terceiro projeto da CV Innovation é o The Best Of CV, que tem como objetivo projetar talentos desportivos de Cabo Verde internacionalmente. Através de uma equipe dedicada e orientação especializada, a startup busca apoiar atletas e impulsionar suas carreiras, abrindo portas para oportunidades de competição em nível global. O projeto busca evidenciar o talento desportivo cabo-verdiano e criar um impacto positivo no cenário internacional.  Através desses três projetos, a CV Innovation demonstra sua versatilidade e capacidade de atuar em diferentes áreas, promovendo inovação, crescimento e oportunidades tanto para seus clientes quanto para investidores interessados em fazer parte desse movimento transformador.;b2b2c;Startup;
Account - NosERP;Santiago;Saas;https://noserp.acount.cv/;;b2b2c;Startup;
Buloja;Santiago;e-Commerce/Delivery;https://buloja.com/;O seu site de vendas em 24H. Comece a vender com rapidez e segurança.;b2b2c;Early Stage;
Melo Experience;Boa Vista;Travel, Turismo & Experiences;https://www.mixo.io/site/cabrer-journey-u763w/index.html;Excursões culturais na zona rural de Boa Vista;b2b2c;Early Stage, Pré-seed;
Tavares & Alves, Digital;Santiago;IT Consulting;;;b2b2c;Startup;
Iyomi Ashira;São Vicente;Creative Industry, IT Consulting;www.iyomiashira.com;Web and Graphic Design;b2b, b2c, b2g;Early Stage;
NOSTIRA XPERIENCES;Boa Vista;Travel, Turismo & Experiences;https://www.mixo.io/site/cabrer-journey-u763w/index.html;Através do nosso projeto, Cabrer's Journey, proporcionamos aos visitantes uma autêntica imersão na cultura e na vida diária dos Cabrers, oferecendo-lhes a oportunidade de vivenciar um dia como um residente local.;b2b2c;Early Stage;
Piteu Delivery;Portugal;e-Commerce/Delivery;https://piteudelivery.com/;Delivery dos Melhores da Cidade da Praia. As refeições que você adora, com entregas rápidas.;b2b2c;Early Stage;
Nos Negocio;Portugal;Data, Saas;https://nosnegocio.com/;;b2b2c;Growth;
Vibra;Santiago;Saas;www.vibra.cv;;;Startup;
Chico Plus;Santiago;Fintech;https://dev.chicoplus.cv/;;;Growth;
Tektimus;Santiago;IT Consulting;https://www.tektimus.cv/;Software Engineering;;Startup;
Health360 SA;Santiago;Healthtech;https://www.health.cv/;Uma solução integrada e completa para as necessidades da gestão da saúde de municípios, clínicas, hospitais, unidades básicas e outras unidades de saúde. Contate-nos para mais informações: comercial@health.cv  ;;Startup;
YA;Santiago;e-Commerce/Delivery;;;;Early Stage;
Come in Cabo Verde;Santiago;Travel, Turismo & Experiences, Creative Industry;https://www.comein.cv/;A agenda cultural do país, na palma da sua mão;;Startup;GoGlobal
HidroEnergy;São Vicente;CleanTech;;;;Startup;GoGlobal
Ocean Vision;São Vicente;Travel, Turismo & Experiences, CleanTech;https://oceanvision.cv/;;;Startup;GoGlobal
Tavares & Alves Digital Lda;São Vicente;IT Consulting;;;b2b2g;Startup;
